wdid,icrsra,icrsdec,spectype,teff,logg,Dpc
Gaia DR2 3371995316767463040,06 41 06.86,20 18 51.20,DA:,6744.0,7.756,60.08
Gaia DR2 3372355922219793536,06 25 35.27,19 02 43.46,DAH,18120.0,9.08,95.06
Gaia DR2 3372378152970731392,06 25 16.99,19 10 24.74,DA:,5051.0,7.913,78.27
Gaia DR2 33728382471118720,02 46 58.04,16 22 42.63,DC:,9897.0,8.011,45.09
Gaia DR2 337298663818927616,02 46 29.64,42 37 44.58,DA,7781.0,7.705,98.97
Gaia DR2 3373664100537553792,06 13 28.35,18 47 20.11,DA,7108.0,8.283,71.81
Gaia DR2 3373902282246805120,06 19 57.81,18 56 52.91,DA,5645.0,8.023,92.88
Gaia DR2 3374162286678753920,06 15 03.42,19 52 47.58,DA,4936.0,7.813,75.10
Gaia DR2 3374267736717515648,06 16 26.17,20 10 27.94,,,,88.63
Gaia DR2 3374353017590346624,06 05 18.28,18 38 32.16,DA,9872.0,7.98,58.76
Gaia DR2 3374672700592145152,06 04 19.22,19 43 47.69,DA,8894.0,8.604,79.33
