wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 2621085018806417280,4549.0,,22.00696304,45.44,18.795532,19.548563,18.134987
Gaia DR2 265911806235019008,7964.0,,17.78163665,56.24,17.350462,17.48184,17.093925
Gaia DR2 2660853323590227456,4789.0,,15.90013127,62.89,19.345427,19.860605,18.721298
Gaia DR2 2707280545670705792,7179.0,,18.1432755,55.12,17.319613,17.51363,17.02944
Gaia DR2 271069404823970176,4459.0,,11.89303608,84.08,19.93547,20.75981,19.230682
Gaia DR2 2712583146653885824,4545.0,,18.85120992,53.05,18.707672,19.288023,18.037506
Gaia DR2 2714438405021876096,,,13.14003363,76.10,19.968777,20.553238,19.12094
Gaia DR2 2739231150982741760,6821.0,,12.14545168,82.34,18.287205,18.505266,17.972155
Gaia DR2 279056600887092736,5502.0,,14.03580119,71.25,18.751915,19.185055,18.251379
Gaia DR2 280135805908017920,5355.0,,13.71477276,72.91,19.531868,19.957705,19.018745
Gaia DR2 2818957013992481280,4557.0,,26.40974233,37.86,19.35179,20.012714,18.739174
Gaia DR2 2842491613706593152,4616.0,,10.24155312,97.64,19.880003,20.547655,19.279148
Gaia DR2 2854432108121022464,5750.0,,12.36269867,80.89,18.658249,19.035995,18.21978
Gaia DR2 2857547329505058176,5597.0,,11.86653014,84.27,18.820475,19.109718,18.390352
Gaia DR2 2887078356402506112,7291.0,,11.95450087,83.65,17.296963,17.38398,17.185303
Gaia DR2 2898670576212524160,9309.0,,10.63627954,94.02,17.746294,17.843668,17.62547
Gaia DR2 290602027028411136,7728.0,,13.60681249,73.49,17.374647,17.50112,17.203596
Gaia DR2 2908390568239614464,4504.0,,10.44160717,95.77,19.074335,19.720085,18.389418
Gaia DR2 2921939025396851584,6975.0,,15.59559299,64.12,17.94395,18.190866,17.637974
Gaia DR2 2924972650995831552,10753.0,,12.71104621,78.67,16.793627,16.826012,16.748516
Gaia DR2 2932666582393510528,8080.0,,11.89771512,84.05,18.25676,18.420393,18.019487
Gaia DR2 2935446392608812032,7513.0,,11.48354056,87.08,18.062582,18.19743,17.813723
Gaia DR2 2967229700348500224,8323.0,,13.65323482,73.24,17.797565,17.921947,17.580923
Gaia DR2 2968288903704831488,8509.0,,10.79207868,92.66,18.169516,18.332335,17.95599
Gaia DR2 2991224823633570048,4655.0,,11.18141497,89.43,19.568249,20.109005,18.946602
Gaia DR2 2999834991818519808,4898.0,,12.44749319,80.34,19.134405,19.636,18.580633
Gaia DR2 3011223668834627328,6578.0,,65.40972622,15.29,14.851106,15.063052,14.489493
Gaia DR2 3019706156227649152,7619.0,,10.70161722,93.44,18.728867,18.971611,18.468395
Gaia DR2 3038106453256131968,4713.0,,11.24592156,88.92,20.111687,20.703243,19.524126
Gaia DR2 3039671225803688320,6964.0,,13.42089689,74.51,17.917706,18.070774,17.66514
Gaia DR2 3044597415857442944,9373.0,,13.72876184,72.84,17.243942,17.352592,17.076944
Gaia DR2 3056676684956725888,5083.0,,12.38414208,80.75,19.334272,19.896605,18.713037
Gaia DR2 3103908646470614144,5870.0,,24.1696125,41.37,17.713264,18.076248,17.23362
Gaia DR2 3143927674263664768,4741.0,,10.39523196,96.20,19.783455,20.263838,19.119871
Gaia DR2 3150999526895425280,4924.0,,11.40351623,87.69,19.325682,19.778244,18.727444
Gaia DR2 3161621736934071424,7541.0,,16.04920883,62.31,17.430061,17.600464,17.16014
Gaia DR2 3167640566662056960,5561.0,,10.64520134,93.94,19.092459,19.518818,18.67448
Gaia DR2 3176664640844839424,8469.0,,11.4130629,87.62,18.07108,18.194998,17.863234
Gaia DR2 3191926927390852608,6613.0,,19.68035463,50.81,17.805878,18.072002,17.402308
Gaia DR2 3204436719718449280,5527.0,,12.03468698,83.09,18.89092,19.233967,18.441416
Gaia DR2 3213304903767768832,4767.0,,13.22117922,75.64,19.135365,19.693356,18.507961
Gaia DR2 3214456431743650048,10199.0,,14.02944738,71.28,16.717224,16.757496,16.660753
Gaia DR2 3228730738371591040,6294.0,,10.81131183,92.50,18.653841,18.917768,18.332367
Gaia DR2 3230171064244273024,6047.0,,12.49261963,80.05,18.476828,18.721136,18.1807
Gaia DR2 3231702860037325824,6163.0,,15.35102046,65.14,18.208326,18.4387,17.812786
Gaia DR2 3246177587019563008,9542.0,,11.83092562,84.52,17.345604,17.417957,17.226376
Gaia DR2 3252915149459995136,4791.0,,14.24761076,70.19,19.02807,19.60438,18.38164
Gaia DR2 3254930932230273664,6764.0,,12.58064614,79.49,18.353916,18.551039,18.064077
Gaia DR2 3303258492657447296,4820.0,,19.83599553,50.41,18.661587,19.27313,17.970001
Gaia DR2 3305693425580086912,8400.0,,10.27806025,97.29,18.058586,18.180515,17.905573
Gaia DR2 3322260454472532224,6836.0,,12.07511095,82.81,18.238722,18.43888,17.807972
Gaia DR2 3322546396213589760,7205.0,,14.78832647,67.62,18.002785,18.235327,17.669449
Gaia DR2 3333336968968120576,4724.0,,10.23861018,97.67,19.572544,20.150118,19.067059
