wdid,teff,logL,parallax,Dpc,G,BP,RP
EGGR 328,8496.0,,27.75141237,36.03,16.33469,16.437376,16.13213
EGGR 330,6510.0,-3.45,22.61477145,44.22,16.929665,17.179811,16.53453
EGGR 342,5898.0,-4.09,35.84601104,27.90,16.48766,16.796871,16.009192
EGGR 345,7850.0,-3.29,24.59899252,40.65,16.011223,16.153158,15.748062
EGGR 353,5525.0,-3.95,41.65614302,24.01,16.192554,16.564676,15.649633
EGGR 358,6668.0,-3.53,24.6604534,40.55,16.583055,16.799683,16.213839
EGGR 360,6964.0,-3.42,48.05968617,20.81,15.023336,15.218966,14.685208
EGGR 370,15732.0,-2.01,38.09431749,26.25,13.327861,13.281674,13.449545
EGGR 371,8816.0,-3.06,21.9912917,45.47,15.869169,15.961771,15.697251
EGGR 373,7613.0,-3.17,22.53543493,44.37,16.31045,16.462774,16.038923
EGGR 376,14080.0,,10.23787794,97.68,16.29687,16.285723,16.365078
EGGR 377,6666.0,-3.75,30.51776062,32.77,16.233475,16.454103,15.862005
EGGR 380,5880.0,-3.74,21.71051667,46.06,16.857584,17.17224,16.369514
EGGR 39,20799.0,,21.13177439,47.32,14.242379,14.153753,14.440572
EGGR 4,10663.0,-3.16,31.40860595,31.84,15.615839,15.650506,15.553987
EGGR 413,8876.0,,20.53570099,48.70,15.929166,16.016222,15.77607
EGGR 419,6327.0,-3.92,30.7105054,32.56,16.805145,17.075403,16.395317
EGGR 42,27458.0,,20.32648373,49.20,13.846414,13.719599,14.110901
EGGR 420,7417.0,,18.84926177,53.05,16.720282,16.87953,16.428152
EGGR 421,6522.0,-3.77,31.01193084,32.25,17.018778,17.266321,16.634836
EGGR 43,8699.0,-2.81,19.72880963,50.69,16.047028,16.139256,15.877919
EGGR 437,7021.0,-3.34,24.10549463,41.48,16.93022,17.12077,16.606298
EGGR 462,5287.0,-4.06,30.65831682,32.62,17.701103,18.125175,17.120329
EGGR 467,7186.0,-3.01,13.0359355,76.71,17.536055,17.719677,17.238007
EGGR 469,16427.0,,11.71190651,85.38,17.383247,17.28905,17.586178
EGGR 472,8283.0,-3.11,29.50905251,33.89,16.104887,16.227175,15.896572
EGGR 476,6528.0,-3.5,33.93674756,29.47,15.781027,16.014904,15.395839
EGGR 478,16380.0,,11.53789089,86.67,16.536903,16.553806,16.499321
EGGR 486,8922.0,,20.2265597,49.44,15.9973345,16.083588,15.844313
EGGR 489,5497.0,-3.87,31.04052004,32.22,16.74943,17.122591,16.2117
EGGR 509,11030.0,,12.3373935,81.05,16.151695,16.162432,16.157087
EGGR 511,9659.0,,29.94926651,33.39,14.922446,14.986524,14.806124
EGGR 517,5212.0,-3.9,36.97366317,27.05,16.907394,17.332079,16.322237
EGGR 518,16074.0,,16.92830879,59.07,14.911787,14.858949,15.044774
EGGR 519,8848.0,-3.03,27.30902701,36.62,14.744703,14.83223,14.580841
EGGR 528,8305.0,,15.07160824,66.35,16.896048,17.025114,16.667046
EGGR 531,6153.0,-3.71,25.41149461,39.35,16.846018,17.135262,16.412003
EGGR 533,7197.0,,16.05890609,62.27,17.259249,17.443901,16.945385
EGGR 534,6948.0,,15.94032365,62.73,17.407854,17.62189,17.064022
EGGR 551,7616.0,-3.3,21.29562175,46.96,16.486893,16.648521,16.205647
EGGR 556,22130.0,,10.67617732,93.67,15.345185,15.246775,15.557217
EGGR 557,7901.0,,26.87584321,37.21,15.487462,15.623832,15.238751
EGGR 561,10331.0,,18.23798561,54.83,14.845222,14.868137,14.822182
EGGR 562,9654.0,-3.26,27.37541591,36.53,16.142569,16.215513,16.024542
EGGR 567,13093.0,,10.69212369,93.53,15.74121,15.729971,15.807802
EGGR 569,8389.0,,18.14262045,55.12,16.509024,16.633978,16.296885
EGGR 57,19440.0,,25.54704881,39.14,13.552998,13.536244,13.525114
EGGR 570,8230.0,-3.04,23.06037514,43.36,15.409236,15.611537,14.99357
EGGR 574,8646.0,,13.06962304,76.51,16.392021,16.50083,16.208136
EGGR 576,13544.0,-2.28,25.34699347,39.45,14.527548,14.501402,14.609157
EGGR 577,8742.0,-2.79,25.37776472,39.40,14.389317,14.476263,14.227601
EGGR 58,7598.0,-3.44,22.47188877,44.50,16.430685,16.588774,16.157606
EGGR 580,9434.0,,22.55051045,44.34,15.61717,15.695525,15.481381
EGGR 581,5984.0,-4.02,31.38797087,31.86,16.641819,16.966827,16.207352
EGGR 582,10391.0,-2.77,23.99405382,41.68,15.230813,15.286937,15.151466
EGGR 64,8671.0,-3.12,29.82561187,33.53,15.311724,15.416601,15.12181
EGGR 67,13955.0,-2.16,31.22164102,32.03,13.340748,13.312157,13.427372
EGGR 69,8488.0,-3.21,36.2823759,27.56,15.018159,15.126958,14.819073
EGGR 7,8064.0,-3.22,45.41923059,22.02,13.937676,14.062895,13.705843
EGGR 70,25388.0,,27.99429868,35.72,12.9995575,12.88592,13.250143
EGGR 75,17765.0,-1.77,28.9938966,34.49,13.819281,13.747272,13.980797
EGGR 76,15703.0,,40.29254568,24.82,13.09057,13.045023,13.214039
EGGR 84,9997.0,-2.82,19.84539052,50.39,15.657506,15.706476,15.558006
EGGR 92,10482.0,-2.75,16.39492876,60.99,15.88976,15.9301605,15.830396
EGGR 94,8586.0,-3.16,30.32293367,32.98,15.354869,15.45815,15.163377
FBS 0315-012,13026.0,,14.24501447,70.20,14.707306,14.697016,14.758835
FBS 0808+435,21195.0,,14.52390777,68.85,15.709974,15.617491,15.908803
FBS 1322+627,10024.0,,15.80089488,63.29,16.195108,16.251293,16.109264
Feige 22,18372.0,-1.58,37.71098865,26.52,12.820539,12.744971,12.996237
Feige 45,22466.0,-1.25,12.92812394,77.35,14.8808,14.777235,15.101262
G 150-43,7240.0,-3.64,33.35000037,29.99,16.275015,16.4504,15.969977
G 158-134,6534.0,,16.46078818,60.75,17.055408,17.216671,16.586988
G 160-51,7474.0,,28.47373826,35.12,15.381145,15.537026,15.096199
G 216-B14B,9555.0,-2.95,14.13212382,70.76,16.665155,16.737373,16.571098
G 250-27,6066.0,-3.93,35.97343453,27.80,16.265318,16.552227,15.8181095
G 272-55,11329.0,,21.81761646,45.83,15.227241,15.254955,15.201021
GALEX 2679195419571914641,8884.0,-2.85,17.5497697,56.98,15.995665,16.08569,15.847674
GALEX 2683206442285009810,9348.0,,13.11801676,76.23,17.457684,17.53925,17.361252
GALEX 2693902448450342235,11325.0,,10.85001911,92.17,17.534784,17.563759,17.489658
GALEX 2693937650002298542,9390.0,,12.85873863,77.77,16.934187,17.013212,16.80096
GALEX J045219.3+251935,20966.75759929252,-2.58,19.38588931,51.58,14.53718,14.443713,14.729443
GALEX J081237.8+173701,16272.0,-2.02,36.97697838,27.04,13.429058,13.375627,13.55163
