wdid,teff,logL,parallax,Dpc,G,BP,RP
WD 0038+730,9447.0,,17.8771,55.94,16.0893,16.1088,16.0418
WD 0042-23,11540.0,,21.17261178,47.23,16.645733,16.65019,16.640175
WD 0151+138,6475.0,,16.10334946,62.10,17.639765,17.863459,17.305576
WD 0312-084,8948.0,,14.29101787,69.97,16.81723,16.873325,16.741465
WD 0442-304,9949.0,,19.95174715,50.12,15.959125,15.994479,15.889663
WD 0604-198,7916.0,,14.65909385,68.22,17.130867,17.224085,16.967533
WD 0805+468,5393.0,,10.29153097,97.17,19.507458,20.0005,18.875883
WD 0811+250,8086.0,,17.04769293,58.66,16.850407,16.935518,16.679893
WD 0933+006,5581.0,,12.766574,78.33,19.149164,19.751741,18.362156
WD 0937+023,7185.0,,19.22574784,52.01,17.103537,17.249063,16.84944
WD 1111+020,5226.0,,23.19346223,43.12,18.479656,18.79749,17.849932
WD 1145+080,8782.0,,23.26007577,42.99,15.847028,15.911273,15.723575
WD 1146-011,9875.0,,14.66043102,68.21,17.374176,17.403704,17.327059
WD 1149-272,6773.0,-3.58,39.72302218,25.17,15.725413,15.922527,15.382377
WD 1156+132,6469.0,,16.04208336,62.34,17.783278,18.017828,17.382254
WD 1157-462,7101.0,-3.3,15.84698415,63.1035,17.4569149,17.59388161,17.17651749
WD 1200+651,12700.0,,11.47341201,87.16,17.627972,17.599577,17.697033
WD 1235+422,5229.0,-3.64,27.71204139,36.09,17.12868,17.542414,16.563667
WD 1242-348,8743.0,,44.98155366,22.23,14.534018,14.600425,14.395452
WD 1300-355,7920.0,,34.73975404,28.79,15.696281,15.801022,15.488517
WD 1309+296,5427.0,,18.3332148,54.55,18.43379,19.101223,17.645227
WD 1331+005,5180.0,,24.45334499,40.89,18.47815,18.914152,17.828213
WD 1338+027,5843.0,,24.96425543,40.06,17.377224,17.75043,16.828342
WD 1353+000,6400.0,,12.69493775,78.77,18.309206,18.536417,17.938711
WD 1440+404,5379.0,,12.58562287,79.46,18.879343,19.310019,18.34824
WD 1445-005,6844.0,,11.07846028,90.27,18.263168,18.39827,17.967312
WD 1633+572,6126.0,-3.74,67.35385415,14.85,14.848741,15.107671,14.422666
