wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 166091096919353088,6434.0,,10.81214896,92.49,18.767897,19.050669,18.425514
Gaia DR2 1668928221397609984,4984.0,,14.27914773,70.03,19.087152,19.573427,18.451353
Gaia DR2 1675850407304241536,6272.0,,19.42264565,51.49,17.756624,17.985178,17.415483
Gaia DR2 1679458897091659008,6041.0,,13.92797291,71.80,18.64261,18.916815,18.257824
Gaia DR2 1680980518105612672,6113.0,,12.81057361,78.06,18.553183,18.803226,18.173094
Gaia DR2 1684084405070896768,7173.0,,10.87305083,91.97,18.495325,18.713234,18.217546
Gaia DR2 1686322048672412288,5042.0,,28.8797319,34.63,19.330952,19.853327,18.71848
Gaia DR2 1688164349123795072,7619.0,,19.06526325,52.45,17.260628,17.424513,16.997065
Gaia DR2 1691837787408390400,7407.0,-3.33,24.02857053,41.62,16.435019,16.564943,16.201939
Gaia DR2 1692480928695419392,4934.0,,21.02098696,47.57,18.169064,18.658573,17.521444
Gaia DR2 1694363498760645248,6380.0,,12.18938819,82.04,18.346056,18.567665,17.98061
Gaia DR2 169819227313335168,5116.0,,11.95401185,83.65,19.377947,19.80989,18.800276
Gaia DR2 1698352286428483712,5049.0,,14.86677575,67.26,18.93801,19.465784,18.306557
Gaia DR2 1700408922928538368,6569.0,,17.05851244,58.62,17.940472,18.177292,17.555632
Gaia DR2 1701203388798824320,7896.0,,10.36249295,96.50,18.235252,18.372757,17.973927
Gaia DR2 1702458378242137088,4227.0,,18.69744296,53.48,18.615366,18.962597,18.157528
Gaia DR2 170575317652517888,7089.0,,15.50200564,64.51,17.967405,18.172922,17.624956
Gaia DR2 1706149129539465216,5384.0,,11.7914669,84.81,19.215343,19.55774,18.771309
Gaia DR2 1706270664229782528,11125.0,,11.42890963,87.50,16.607706,16.603226,16.596514
Gaia DR2 171830238376804992,6262.0,,16.75506143,59.68,18.0544,18.26679,17.6443
Gaia DR2 1719657969916399744,5021.0,,13.47923423,74.19,19.05848,19.540741,18.454792
Gaia DR2 1720987794869935744,5123.0,,13.40112917,74.62,19.11796,19.610962,18.51723
Gaia DR2 1721284113253562112,6046.0,,13.35742326,74.86,18.567158,18.755854,18.018904
Gaia DR2 1724098901677145984,20897.0,,11.56344941,86.48,16.984455,16.859083,17.203117
Gaia DR2 1724841037664857728,7315.0,,15.01401314,66.60,17.841797,17.980993,17.565252
Gaia DR2 1728388195320169088,4372.0,,20.59536277,48.55,18.733978,19.370352,17.987976
Gaia DR2 1733782571164433408,9786.0,,17.40326803,57.46,16.207794,16.244465,16.139948
Gaia DR2 1735873395604000512,6209.0,,12.69163497,78.79,19.106276,19.405735,18.692923
Gaia DR2 1737175805783123584,5184.0,,15.18218452,65.87,17.780499,18.212723,17.175032
Gaia DR2 1752188773770447872,6173.0,,11.38775659,87.81,18.629145,18.887903,18.265854
Gaia DR2 1755960820211364352,5014.0,,14.09045337,70.97,18.984756,19.469112,18.415653
Gaia DR2 175817887877152896,7004.0,,12.99025926,76.98,17.89932,18.069296,17.619186
Gaia DR2 1759659474245790720,4854.0,,16.39026289,61.01,18.882496,19.405495,18.236507
Gaia DR2 1773934438004155136,8859.0,,10.32138443,96.89,18.15859,18.229832,18.005335
Gaia DR2 1773969996038337792,6833.0,,16.69662296,59.89,18.090061,18.295046,17.740778
Gaia DR2 1777269424274555776,7329.0,,23.22938164,43.05,16.659458,16.875814,16.624977
Gaia DR2 1786065654735928064,8306.0,,10.35808974,96.54,17.931715,18.041004,17.757301
Gaia DR2 1787668055493515776,6023.0,,12.27507506,81.47,18.613665,18.87602,18.268099
Gaia DR2 1795467063268699264,6226.0,,11.68241511,85.60,18.501715,18.729239,18.153234
Gaia DR2 1798927947915336448,5959.0,,15.31047215,65.31,18.005146,18.297958,17.588606
Gaia DR2 1799336279047495424,5018.0,,11.30587055,88.45,19.506746,19.833515,18.986588
Gaia DR2 1799850987927155456,7091.0,,12.28325057,81.41,18.560862,18.795984,18.23684
