wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 5858478848023659008,11667.0,,10.50798234,95.17,17.021193,17.007006,16.943632
Gaia DR2 5861129530013586816,19319.0,,10.91022727,91.66,17.064232,16.962168,17.171705
Gaia DR2 5869567658943170048,11080.0,,27.82427546,35.94,14.767425,14.761315,14.738732
Gaia DR2 5911694935862150016,15043.0,,15.3269741,65.24,15.267967,15.205279,15.366595
Gaia DR2 5935149820999504640,11464.0,,12.83680809,77.90,16.48947,16.486036,16.495361
Gaia DR2 5990231230384019840,11526.0,,10.80656181,92.54,16.844887,16.844172,16.824408
Gaia DR2 5999693898016318720,20953.0,,10.53629443,94.91,15.481651,15.37523,15.633534
Gaia DR2 6008386881767536128,13268.0,,26.45731963,37.80,14.39649,14.35574,14.446642
Gaia DR2 6019850115143794816,10909.0,,16.78195702,59.59,15.9205265,15.929089,15.879039
Gaia DR2 6046370060701175680,15286.0,,11.55840997,86.52,15.9121475,15.834473,16.051384
Gaia DR2 6177011798921524096,14370.0,,10.04292265,99.57,16.572062,16.529253,16.624214
Gaia DR2 6184353233764164864,11094.0,,10.07140569,99.29,17.061016,17.070904,17.02596
Gaia DR2 6198878954897636992,16111.0,,17.22757893,58.05,15.024193,14.954785,15.139628
Gaia DR2 6227193715778519040,12696.0,,15.73077225,63.57,15.437401,15.391985,15.51109
Gaia DR2 6244608743007022208,12485.0,,10.33265105,96.78,16.427164,16.384296,16.487106
Gaia DR2 6276636790870825728,13281.0,,14.07393342,71.05,15.796916,15.763366,15.850212
Gaia DR2 6407197852445440,11676.0,,10.78239052,92.74,16.941614,16.943705,16.950138
Gaia DR2 6407768503265770880,14501.0,,10.28566304,97.22,16.271822,16.21943,16.330606
Gaia DR2 6440255975194724736,15438.0,,10.29728795,97.11,17.83067,17.757017,17.948505
Gaia DR2 6645604928622813824,18736.0,,20.48256682,48.82,14.255808,14.169173,14.38445
Gaia DR2 6659930190744139136,13813.0,,14.05492285,71.15,15.764629,15.725331,15.841502
Gaia DR2 6742720388361011072,12107.0,,15.0873147,66.28,16.207663,16.199394,16.243269
Gaia DR2 6761022622712596992,13237.0,,14.19225273,70.46,16.061924,16.025803,16.108526
Gaia DR2 6763036202147206912,11475.0,,28.87200948,34.64,14.638003,14.631961,14.6301365
Gaia DR2 6794613321399870080,11277.0,,20.3608627,49.11,15.390379,15.381257,15.391891
Gaia DR2 6800380775284148864,15225.0,,16.38401016,61.04,15.073403,15.011359,15.176992
Gaia DR2 6805770340763855104,14353.0,,10.74391082,93.08,15.782428,15.711186,15.914204
Gaia DR2 6806525773973547008,11310.0,,16.74352047,59.72,15.759415,15.738534,15.769613
Gaia DR2 6877357172029545088,11198.0,,17.95999297,55.68,15.658687,15.646821,15.651128
Gaia DR2 87712165716505216,11085.0,,14.31128383,69.87,16.022333,16.01647,16.01791
Gaia DR2 883006556929519872,11428.0,,39.05155845,25.61,13.891518,13.887313,13.884613
Gaia DR2 992771180686912000,10945.0,,10.19779945,98.06,17.049665,17.06114,17.048616
HD 218572B,10780.0,-2.65,47.4605099,21.07,13.571223,13.576301,13.537979
HE 0203-1807,10631.0,,19.08798933,52.39,15.62664,15.631987,15.582144
HE 1043-0502,18776.0,,12.10181795,82.63,16.818686,16.74485,16.987286
HE 1211-1707,26677.0,,11.01966531,90.75,16.702244,16.58555,16.939327
HE 2334-4127,16555.0,,13.25744644,75.43,15.141352,15.056228,15.294855
HS 2253+8023,14000.0,,13.87291356,72.08,16.02744,15.994753,16.089058
KPD 2236+5410,15470.0,-2.26,12.57678168,79.51,16.178106,16.125565,16.275537
KUV 02499+3442,12015.0,-3.0,11.43592026,87.44,16.547644,16.533228,16.552252
LAWD 74,10805.0,-2.73,95.17839515,10.51,10.972157,12.369064,9.807171
LAWD 90,16181.0,,19.76504516,50.59,14.621485,14.548978,14.74318
LAWD 92,18000.0,,18.79735665,53.20,14.446096,14.360325,14.581891
LP 638-4,13330.0,-2.36,23.29061923,42.94,14.643246,14.601337,14.694133
LP 786-6,16434.0,-1.95,11.58977956,86.28,15.616792,15.545455,15.747125
LP 916-27,12700.0,-3.23,20.9637964,47.70,15.3479,15.352453,15.328946
PG 0900+142,13981.0,-2.19,10.54320331,94.85,16.242588,16.192778,16.31568
PG 0948+013,16908.0,-1.99,11.10062006,90.09,15.739762,15.669005,15.869198
PG 1144-085,15730.0,-2.08,10.54877407,94.80,16.069115,16.008688,16.169518
PG 1411+219,14518.0,-2.17,24.10893678,41.48,14.413959,14.358591,14.493938
PG 1444-096,15234.0,-2.06,16.92564938,59.08,14.930446,14.861113,15.042085
PG 1610+239B,13545.0,-2.43,16.65055335,60.06,15.500225,15.46864,15.54174
PG 1644+199,14150.0,-2.18,17.77512357,56.26,15.056511,14.998858,15.14333
PHL 459,11263.0,-3.23,39.14554778,25.55,14.059093,14.056691,14.043554
PHL 778,15355.0,,16.75195192,59.69,15.167719,15.111068,15.266354
SDSS J014147.15+071130.6,11206.0,,12.80453413,78.10,16.594458,16.610003,16.573189
SDSS J073029.07+345613.4,10699.0,,10.24088747,97.65,16.996662,17.000624,16.976128
SDSS J073737.20+154131.4,14021.0,,10.01164026,99.88,16.576658,16.53095,16.644512
SDSS J083542.23+040817.5,12922.0,,10.23978336,97.66,16.458286,16.421417,16.509602
